nu,B
1.9440633506e+21,9.9342877278e-08
1.9476903345e+21,9.8191544638e-08
1.9513173184e+21,9.7052548414e-08
1.9549443022e+21,9.5925772664e-08
1.9585712861e+21,9.4811102266e-08
1.9621982699e+21,9.3708422919e-08
1.9658252538e+21,9.2617621137e-08
1.9694522377e+21,9.1538584252e-08
1.9730792215e+21,9.0471200414e-08
1.9767062054e+21,8.9415358585e-08
1.9803331893e+21,8.8370948540e-08
1.9839601731e+21,8.7337860864e-08
1.9875871570e+21,8.6315986955e-08
1.9912141409e+21,8.5305219015e-08
1.9948411247e+21,8.4305450055e-08
1.9984681086e+21,8.3316573886e-08
2.0020950924e+21,8.2338485124e-08
2.0057220763e+21,8.1371079185e-08
2.0093490602e+21,8.0414252280e-08
2.0129760440e+21,7.9467901417e-08
2.0166030279e+21,7.8531924397e-08
2.0202300118e+21,7.7606219810e-08
2.0238569956e+21,7.6690687037e-08
2.0274839795e+21,7.5785226241e-08
2.0311109633e+21,7.4889738371e-08
2.0347379472e+21,7.4004125153e-08
2.0383649311e+21,7.3128289094e-08
2.0419919149e+21,7.2262133472e-08
2.0456188988e+21,7.1405562339e-08
2.0492458827e+21,7.0558480517e-08
2.0528728665e+21,6.9720793590e-08
2.0564998504e+21,6.8892407907e-08
2.0601268343e+21,6.8073230579e-08
2.0637538181e+21,6.7263169469e-08
2.0673808020e+21,6.6462133197e-08
2.0710077858e+21,6.5670031131e-08
2.0746347697e+21,6.4886773387e-08
2.0782617536e+21,6.4112270825e-08
2.0818887374e+21,6.3346435044e-08
2.0855157213e+21,6.2589178381e-08
2.0891427052e+21,6.1840413904e-08
2.0927696890e+21,6.1100055415e-08
2.0963966729e+21,6.0368017438e-08
2.1000236567e+21,5.9644215223e-08
2.1036506406e+21,5.8928564738e-08
2.1072776245e+21,5.8220982666e-08
2.1109046083e+21,5.7521386403e-08
2.1145315922e+21,5.6829694052e-08
2.1181585761e+21,5.6145824423e-08
2.1217855599e+21,5.5469697024e-08
2.1254125438e+21,5.4801232062e-08
2.1290395277e+21,5.4140350437e-08
2.1326665115e+21,5.3486973737e-08
2.1362934954e+21,5.2841024238e-08
2.1399204792e+21,5.2202424897e-08
2.1435474631e+21,5.1571099348e-08
2.1471744470e+21,5.0946971899e-08
2.1508014308e+21,5.0329967530e-08
2.1544284147e+21,4.9720011886e-08
2.1580553986e+21,4.9117031274e-08
2.1616823824e+21,4.8520952660e-08
2.1653093663e+21,4.7931703664e-08
2.1689363501e+21,4.7349212557e-08
2.1725633340e+21,4.6773408255e-08
2.1761903179e+21,4.6204220318e-08
2.1798173017e+21,4.5641578945e-08
2.1834442856e+21,4.5085414966e-08
2.1870712695e+21,4.4535659845e-08
2.1906982533e+21,4.3992245671e-08
2.1943252372e+21,4.3455105154e-08
2.1979522211e+21,4.2924171624e-08
2.2015792049e+21,4.2399379025e-08
2.2052061888e+21,4.1880661911e-08
2.2088331726e+21,4.1367955441e-08
2.2124601565e+21,4.0861195376e-08
2.2160871404e+21,4.0360318078e-08
2.2197141242e+21,3.9865260499e-08
2.2233411081e+21,3.9375960183e-08
2.2269680920e+21,3.8892355260e-08
2.2305950758e+21,3.8414384440e-08
2.2342220597e+21,3.7941987011e-08
2.2378490435e+21,3.7475102837e-08
2.2414760274e+21,3.7013672348e-08
2.2451030113e+21,3.6557636543e-08
2.2487299951e+21,3.6106936979e-08
2.2523569790e+21,3.5661515773e-08
2.2559839629e+21,3.5221315594e-08
2.2596109467e+21,3.4786279661e-08
2.2632379306e+21,3.4356351738e-08
2.2668649145e+21,3.3931476130e-08
2.2704918983e+21,3.3511597679e-08
2.2741188822e+21,3.3096661762e-08
2.2777458660e+21,3.2686614283e-08
2.2813728499e+21,3.2281401674e-08
2.2849998338e+21,3.1880970885e-08
2.2886268176e+21,3.1485269386e-08
2.2922538015e+21,3.1094245159e-08
2.2958807854e+21,3.0707846695e-08
2.2995077692e+21,3.0326022994e-08
2.3031347531e+21,2.9948723552e-08
2.3067617369e+21,2.9575898367e-08
2.3103887208e+21,2.9207497930e-08
2.3140157047e+21,2.8843473220e-08
2.3176426885e+21,2.8483775704e-08
2.3212696724e+21,2.8128357330e-08
2.3248966563e+21,2.7777170526e-08
2.3285236401e+21,2.7430168191e-08
2.3321506240e+21,2.7087303699e-08
2.3357776078e+21,2.6748530887e-08
2.3394045917e+21,2.6413804058e-08
2.3430315756e+21,2.6083077973e-08
2.3466585594e+21,2.5756307848e-08
2.3502855433e+21,2.5433449351e-08
2.3539125272e+21,2.5114458599e-08
2.3575395110e+21,2.4799292153e-08
2.3611664949e+21,2.4487907013e-08
2.3647934788e+21,2.4180260619e-08
2.3684204626e+21,2.3876310842e-08
2.3720474465e+21,2.3576015982e-08
2.3756744303e+21,2.3279334768e-08
2.3793014142e+21,2.2986226349e-08
2.3829283981e+21,2.2696650293e-08
2.3865553819e+21,2.2410566585e-08
2.3901823658e+21,2.2127935619e-08
2.3938093497e+21,2.1848718199e-08
2.3974363335e+21,2.1572875533e-08
2.4010633174e+21,2.1300369231e-08
2.4046903012e+21,2.1031161299e-08
2.4083172851e+21,2.0765214138e-08
2.4119442690e+21,2.0502490541e-08
2.4155712528e+21,2.0242953685e-08
2.4191982367e+21,1.9986567135e-08
2.4228252206e+21,1.9733294834e-08
2.4264522044e+21,1.9483101101e-08
2.4300791883e+21,1.9235950632e-08
2.4337061722e+21,1.8991808490e-08
2.4373331560e+21,1.8750640109e-08
2.4409601399e+21,1.8512411283e-08
2.4445871237e+21,1.8277088168e-08
2.4482141076e+21,1.8044637278e-08
2.4518410915e+21,1.7815025481e-08
2.4554680753e+21,1.7588219995e-08
2.4590950592e+21,1.7364188386e-08
2.4627220431e+21,1.7142898564e-08
2.4663490269e+21,1.6924318782e-08
2.4699760108e+21,1.6708417629e-08
2.4736029946e+21,1.6495164030e-08
2.4772299785e+21,1.6284527242e-08
2.4808569624e+21,1.6076476852e-08
2.4844839462e+21,1.5870982771e-08
2.4881109301e+21,1.5668015234e-08
2.4917379140e+21,1.5467544795e-08
2.4953648978e+21,1.5269542326e-08
2.4989918817e+21,1.5073979011e-08
2.5026188656e+21,1.4880826347e-08
2.5062458494e+21,1.4690056138e-08
2.5098728333e+21,1.4501640492e-08
2.5134998171e+21,1.4315551821e-08
2.5171268010e+21,1.4131762835e-08
2.5207537849e+21,1.3950246542e-08
2.5243807687e+21,1.3770976241e-08
2.5280077526e+21,1.3593925524e-08
