r,P,m,rho
3.120000e-02,1.498416e+02,2.389429e-05,8.639313e+00
3.130000e-02,1.498385e+02,2.407256e-05,8.639261e+00
3.140000e-02,1.498354e+02,2.425254e-05,8.639209e+00
3.150000e-02,1.498323e+02,2.443424e-05,8.639157e+00
3.160000e-02,1.498292e+02,2.461767e-05,8.639104e+00
3.170000e-02,1.498260e+02,2.480284e-05,8.639051e+00
3.180000e-02,1.498228e+02,2.498976e-05,8.638998e+00
3.190000e-02,1.498196e+02,2.517844e-05,8.638944e+00
3.200000e-02,1.498164e+02,2.536890e-05,8.638890e+00
3.210000e-02,1.498132e+02,2.556114e-05,8.638836e+00
3.220000e-02,1.498099e+02,2.575518e-05,8.638781e+00
3.230000e-02,1.498067e+02,2.595102e-05,8.638726e+00
3.240000e-02,1.498034e+02,2.614869e-05,8.638671e+00
3.250000e-02,1.498000e+02,2.634818e-05,8.638615e+00
3.260000e-02,1.497967e+02,2.654951e-05,8.638559e+00
3.270000e-02,1.497933e+02,2.675270e-05,8.638503e+00
3.280000e-02,1.497900e+02,2.695774e-05,8.638446e+00
3.290000e-02,1.497866e+02,2.716467e-05,8.638389e+00
3.300000e-02,1.497832e+02,2.737347e-05,8.638332e+00
3.310000e-02,1.497797e+02,2.758418e-05,8.638274e+00
3.320000e-02,1.497762e+02,2.779679e-05,8.638216e+00
3.330000e-02,1.497728e+02,2.801132e-05,8.638158e+00
3.340000e-02,1.497693e+02,2.822778e-05,8.638099e+00
3.350000e-02,1.497657e+02,2.844619e-05,8.638040e+00
3.360000e-02,1.497622e+02,2.866655e-05,8.637981e+00
3.370000e-02,1.497586e+02,2.888888e-05,8.637921e+00
3.380000e-02,1.497550e+02,2.911318e-05,8.637861e+00
3.390000e-02,1.497514e+02,2.933947e-05,8.637800e+00
3.400000e-02,1.497478e+02,2.956776e-05,8.637739e+00
3.410000e-02,1.497442e+02,2.979807e-05,8.637678e+00
3.420000e-02,1.497405e+02,3.003040e-05,8.637616e+00
3.430000e-02,1.497368e+02,3.026477e-05,8.637555e+00
3.440000e-02,1.497331e+02,3.050118e-05,8.637492e+00
3.450000e-02,1.497294e+02,3.073965e-05,8.637430e+00
3.460000e-02,1.497256e+02,3.098020e-05,8.637367e+00
3.470000e-02,1.497218e+02,3.122282e-05,8.637303e+00
3.480000e-02,1.497180e+02,3.146755e-05,8.637239e+00
3.490000e-02,1.497142e+02,3.171438e-05,8.637175e+00
3.500000e-02,1.497104e+02,3.196333e-05,8.637111e+00
3.510000e-02,1.497065e+02,3.221441e-05,8.637046e+00
3.520000e-02,1.497026e+02,3.246763e-05,8.636981e+00
3.530000e-02,1.496987e+02,3.272301e-05,8.636915e+00
3.540000e-02,1.496948e+02,3.298056e-05,8.636849e+00
3.550000e-02,1.496908e+02,3.324029e-05,8.636783e+00
3.560000e-02,1.496868e+02,3.350221e-05,8.636716e+00
3.570000e-02,1.496828e+02,3.376633e-05,8.636649e+00
3.580000e-02,1.496788e+02,3.403267e-05,8.636582e+00
3.590000e-02,1.496748e+02,3.430124e-05,8.636514e+00
3.600000e-02,1.496707e+02,3.457205e-05,8.636446e+00
3.610000e-02,1.496666e+02,3.484511e-05,8.636377e+00
3.620000e-02,1.496625e+02,3.512044e-05,8.636308e+00
3.630000e-02,1.496584e+02,3.539804e-05,8.636239e+00
3.640000e-02,1.496542e+02,3.567794e-05,8.636169e+00
3.650000e-02,1.496501e+02,3.596014e-05,8.636099e+00
