r,P,m
7.8586412194e-02,9.4824471720e+02,4.0791840598e-06
7.8786377619e-02,9.4824331262e+02,4.1103206838e-06
7.8986343045e-02,9.4824190448e+02,4.1416153353e-06
7.9186308470e-02,9.4824049279e+02,4.1730684142e-06
7.9386273896e-02,9.4823907754e+02,4.2046803202e-06
7.9586239321e-02,9.4823765873e+02,4.2364514531e-06
7.9786204747e-02,9.4823623636e+02,4.2683822127e-06
7.9986170172e-02,9.4823481043e+02,4.3004729989e-06
8.0186135597e-02,9.4823338094e+02,4.3327242113e-06
8.0386101023e-02,9.4823194790e+02,4.3651362499e-06
8.0586066448e-02,9.4823051129e+02,4.3977095144e-06
8.0786031874e-02,9.4822907113e+02,4.4304444046e-06
8.0985997299e-02,9.4822762741e+02,4.4633413202e-06
8.1185962725e-02,9.4822618013e+02,4.4964006612e-06
8.1385928150e-02,9.4822472930e+02,4.5296228271e-06
8.1585893575e-02,9.4822327490e+02,4.5630082179e-06
8.1785859001e-02,9.4822181695e+02,4.5965572333e-06
8.1985824426e-02,9.4822035543e+02,4.6302702731e-06
8.2185789852e-02,9.4821889036e+02,4.6641477370e-06
8.2385755277e-02,9.4821742174e+02,4.6981900249e-06
8.2585720703e-02,9.4821594955e+02,4.7323975365e-06
8.2785686128e-02,9.4821447380e+02,4.7667706715e-06
8.2985651553e-02,9.4821299450e+02,4.8013098298e-06
8.3185616979e-02,9.4821151164e+02,4.8360154110e-06
8.3385582404e-02,9.4821002522e+02,4.8708878151e-06
8.3585547830e-02,9.4820853524e+02,4.9059274416e-06
8.3785513255e-02,9.4820704170e+02,4.9411346905e-06
8.3985478681e-02,9.4820554461e+02,4.9765099613e-06
8.4185444106e-02,9.4820404395e+02,5.0120536540e-06
8.4385409531e-02,9.4820253974e+02,5.0477661682e-06
8.4585374957e-02,9.4820103197e+02,5.0836479036e-06
8.4785340382e-02,9.4819952064e+02,5.1196992602e-06
8.4985305808e-02,9.4819800576e+02,5.1559206375e-06
8.5185271233e-02,9.4819648732e+02,5.1923124353e-06
8.5385236659e-02,9.4819496531e+02,5.2288750534e-06
8.5585202084e-02,9.4819343975e+02,5.2656088915e-06
8.5785167509e-02,9.4819191064e+02,5.3025143493e-06
8.5985132935e-02,9.4819037796e+02,5.3395918266e-06
8.6185098360e-02,9.4818884172e+02,5.3768417232e-06
8.6385063786e-02,9.4818730193e+02,5.4142644386e-06
8.6585029211e-02,9.4818575858e+02,5.4518603728e-06
8.6784994637e-02,9.4818421167e+02,5.4896299253e-06
8.6984960062e-02,9.4818266121e+02,5.5275734959e-06
8.7184925487e-02,9.4818110718e+02,5.5656914844e-06
8.7384890913e-02,9.4817954960e+02,5.6039842904e-06
8.7584856338e-02,9.4817798846e+02,5.6424523137e-06
8.7784821764e-02,9.4817642376e+02,5.6810959539e-06
8.7984787189e-02,9.4817485551e+02,5.7199156109e-06
8.8184752615e-02,9.4817328369e+02,5.7589116843e-06
8.8384718040e-02,9.4817170832e+02,5.7980845738e-06
8.8584683465e-02,9.4817012939e+02,5.8374346791e-06
8.8784648891e-02,9.4816854691e+02,5.8769623999e-06
8.8984614316e-02,9.4816696086e+02,5.9166681360e-06
8.9184579742e-02,9.4816537126e+02,5.9565522870e-06
8.9384545167e-02,9.4816377810e+02,5.9966152526e-06
8.9584510593e-02,9.4816218138e+02,6.0368574325e-06
8.9784476018e-02,9.4816058110e+02,6.0772792264e-06
8.9984441443e-02,9.4815897727e+02,6.1178810341e-06
9.0184406869e-02,9.4815736988e+02,6.1586632551e-06
9.0384372294e-02,9.4815575893e+02,6.1996262892e-06
9.0584337720e-02,9.4815414442e+02,6.2407705360e-06
9.0784303145e-02,9.4815252635e+02,6.2820963953e-06
9.0984268571e-02,9.4815090473e+02,6.3236042667e-06
9.1184233996e-02,9.4814927955e+02,6.3652945498e-06
9.1384199422e-02,9.4814765081e+02,6.4071676445e-06
9.1584164847e-02,9.4814601852e+02,6.4492239502e-06
9.1784130272e-02,9.4814438266e+02,6.4914638668e-06
9.1984095698e-02,9.4814274325e+02,6.5338877938e-06
9.2184061123e-02,9.4814110029e+02,6.5764961310e-06
9.2384026549e-02,9.4813945376e+02,6.6192892780e-06
9.2583991974e-02,9.4813780368e+02,6.6622676344e-06
9.2783957400e-02,9.4813615004e+02,6.7054315999e-06
