r,Phi
1.1518008505e-01,-4.7612860912e-01
1.1538005047e-01,-4.7612829907e-01
1.1558001590e-01,-4.7612798848e-01
1.1577998132e-01,-4.7612767735e-01
1.1597994675e-01,-4.7612736568e-01
1.1617991217e-01,-4.7612705348e-01
1.1637987760e-01,-4.7612674074e-01
1.1657984303e-01,-4.7612642747e-01
1.1677980845e-01,-4.7612611366e-01
1.1697977388e-01,-4.7612579931e-01
1.1717973930e-01,-4.7612548443e-01
1.1737970473e-01,-4.7612516901e-01
1.1757967015e-01,-4.7612485305e-01
1.1777963558e-01,-4.7612453656e-01
1.1797960100e-01,-4.7612421953e-01
1.1817956643e-01,-4.7612390196e-01
1.1837953185e-01,-4.7612358386e-01
1.1857949728e-01,-4.7612326522e-01
1.1877946271e-01,-4.7612294604e-01
1.1897942813e-01,-4.7612262633e-01
1.1917939356e-01,-4.7612230608e-01
1.1937935898e-01,-4.7612198530e-01
1.1957932441e-01,-4.7612166398e-01
1.1977928983e-01,-4.7612134212e-01
1.1997925526e-01,-4.7612101972e-01
1.2017922068e-01,-4.7612069679e-01
1.2037918611e-01,-4.7612037333e-01
1.2057915153e-01,-4.7612004932e-01
1.2077911696e-01,-4.7611972478e-01
1.2097908239e-01,-4.7611939971e-01
1.2117904781e-01,-4.7611907409e-01
1.2137901324e-01,-4.7611874794e-01
1.2157897866e-01,-4.7611842126e-01
1.2177894409e-01,-4.7611809403e-01
1.2197890951e-01,-4.7611776627e-01
1.2217887494e-01,-4.7611743798e-01
1.2237884036e-01,-4.7611710915e-01
1.2257880579e-01,-4.7611677978e-01
1.2277877121e-01,-4.7611644987e-01
1.2297873664e-01,-4.7611611943e-01
1.2317870206e-01,-4.7611578845e-01
1.2337866749e-01,-4.7611545694e-01
1.2357863292e-01,-4.7611512489e-01
1.2377859834e-01,-4.7611479230e-01
1.2397856377e-01,-4.7611445918e-01
1.2417852919e-01,-4.7611412552e-01
1.2437849462e-01,-4.7611379132e-01
1.2457846004e-01,-4.7611345659e-01
1.2477842547e-01,-4.7611312132e-01
1.2497839089e-01,-4.7611278551e-01
1.2517835632e-01,-4.7611244917e-01
1.2537832174e-01,-4.7611211229e-01
1.2557828717e-01,-4.7611177488e-01
1.2577825260e-01,-4.7611143693e-01
1.2597821802e-01,-4.7611109844e-01
1.2617818345e-01,-4.7611075942e-01
