P,rho
7.690000e+00,3.650873e+00
7.700000e+00,3.652241e+00
7.710000e+00,3.653608e+00
7.720000e+00,3.654974e+00
7.730000e+00,3.656338e+00
7.740000e+00,3.657702e+00
7.750000e+00,3.659064e+00
7.760000e+00,3.660425e+00
7.770000e+00,3.661784e+00
7.780000e+00,3.663143e+00
7.790000e+00,3.664500e+00
7.800000e+00,3.665856e+00
7.810000e+00,3.667210e+00
7.820000e+00,3.668564e+00
7.830000e+00,3.669916e+00
7.840000e+00,3.671267e+00
7.850000e+00,3.672617e+00
7.860000e+00,3.673966e+00
7.870000e+00,3.675313e+00
7.880000e+00,3.676659e+00
7.890000e+00,3.678004e+00
7.900000e+00,3.679348e+00
7.910000e+00,3.680691e+00
7.920000e+00,3.682032e+00
7.930000e+00,3.683372e+00
7.940000e+00,3.684712e+00
7.950000e+00,3.686049e+00
7.960000e+00,3.687386e+00
7.970000e+00,3.688722e+00
7.980000e+00,3.690056e+00
7.990000e+00,3.691389e+00
8.000000e+00,3.692721e+00
8.010000e+00,3.694052e+00
8.020000e+00,3.695381e+00
8.030000e+00,3.696710e+00
8.040000e+00,3.698037e+00
8.050000e+00,3.699363e+00
8.060000e+00,3.700688e+00
8.070000e+00,3.702012e+00
8.080000e+00,3.703335e+00
8.090000e+00,3.704656e+00
8.100000e+00,3.705977e+00
8.110000e+00,3.707296e+00
8.120000e+00,3.708614e+00
8.130000e+00,3.709931e+00
8.140000e+00,3.711247e+00
8.150000e+00,3.712561e+00
8.160000e+00,3.713875e+00
8.170000e+00,3.715187e+00
8.180000e+00,3.716498e+00
8.190000e+00,3.717809e+00
8.200000e+00,3.719118e+00
8.210000e+00,3.720425e+00
8.220000e+00,3.721732e+00
8.230000e+00,3.723038e+00
8.240000e+00,3.724342e+00
8.250000e+00,3.725646e+00
8.260000e+00,3.726948e+00
8.270000e+00,3.728249e+00
8.280000e+00,3.729549e+00
8.290000e+00,3.730848e+00
8.300000e+00,3.732146e+00
8.310000e+00,3.733443e+00
8.320000e+00,3.734739e+00
8.330000e+00,3.736033e+00
8.340000e+00,3.737327e+00
8.350000e+00,3.738619e+00
8.360000e+00,3.739910e+00
8.370000e+00,3.741201e+00
8.380000e+00,3.742490e+00
8.390000e+00,3.743778e+00
8.400000e+00,3.745065e+00
8.410000e+00,3.746351e+00
8.420000e+00,3.747635e+00
8.430000e+00,3.748919e+00
8.440000e+00,3.750202e+00
8.450000e+00,3.751483e+00
8.460000e+00,3.752764e+00
8.470000e+00,3.754043e+00
8.480000e+00,3.755322e+00
8.490000e+00,3.756599e+00
8.500000e+00,3.757875e+00
8.510000e+00,3.759151e+00
8.520000e+00,3.760425e+00
8.530000e+00,3.761698e+00
8.540000e+00,3.762970e+00
8.550000e+00,3.764241e+00
8.560000e+00,3.765511e+00
8.570000e+00,3.766780e+00
8.580000e+00,3.768048e+00
8.590000e+00,3.769315e+00
8.600000e+00,3.770580e+00
8.610000e+00,3.771845e+00
8.620000e+00,3.773109e+00
8.630000e+00,3.774372e+00
8.640000e+00,3.775633e+00
8.650000e+00,3.776894e+00
8.660000e+00,3.778154e+00
8.670000e+00,3.779412e+00
8.680000e+00,3.780670e+00
8.690000e+00,3.781926e+00
8.700000e+00,3.783182e+00
8.710000e+00,3.784436e+00
8.720000e+00,3.785690e+00
