r,Pot
1.62166e+02,5.53745e+15
1.62367e+02,5.53739e+15
1.62567e+02,5.53733e+15
1.62768e+02,5.53726e+15
1.62969e+02,5.53720e+15
1.63169e+02,5.53714e+15
1.63370e+02,5.53708e+15
1.63570e+02,5.53701e+15
1.63771e+02,5.53695e+15
1.63972e+02,5.53689e+15
1.64172e+02,5.53683e+15
1.64373e+02,5.53677e+15
1.64574e+02,5.53671e+15
1.64774e+02,5.53664e+15
1.64975e+02,5.53658e+15
1.65175e+02,5.53652e+15
1.65376e+02,5.53646e+15
1.65577e+02,5.53640e+15
1.65777e+02,5.53634e+15
1.65978e+02,5.53628e+15
1.66178e+02,5.53622e+15
1.66379e+02,5.53616e+15
1.66580e+02,5.53610e+15
1.66780e+02,5.53604e+15
1.66981e+02,5.53598e+15
1.67181e+02,5.53592e+15
1.67382e+02,5.53586e+15
1.67583e+02,5.53580e+15
1.67783e+02,5.53574e+15
1.67984e+02,5.53569e+15
1.68185e+02,5.53563e+15
1.68385e+02,5.53557e+15
1.68586e+02,5.53551e+15
1.68786e+02,5.53545e+15
1.68987e+02,5.53539e+15
1.69188e+02,5.53534e+15
1.69388e+02,5.53528e+15
1.69589e+02,5.53522e+15
1.69789e+02,5.53516e+15
1.69990e+02,5.53511e+15
1.70191e+02,5.53505e+15
1.70391e+02,5.53499e+15
1.70592e+02,5.53493e+15
1.70793e+02,5.53488e+15
1.70993e+02,5.53482e+15
1.71194e+02,5.53476e+15
1.71394e+02,5.53471e+15
1.71595e+02,5.53465e+15
1.71796e+02,5.53459e+15
1.71996e+02,5.53454e+15
1.72197e+02,5.53448e+15
1.72397e+02,5.53443e+15
1.72598e+02,5.53437e+15
1.72799e+02,5.53432e+15
1.72999e+02,5.53426e+15
1.73200e+02,5.53420e+15
1.73401e+02,5.53415e+15
1.73601e+02,5.53409e+15
1.73802e+02,5.53404e+15
1.74002e+02,5.53398e+15
1.74203e+02,5.53393e+15
1.74404e+02,5.53388e+15
1.74604e+02,5.53382e+15
1.74805e+02,5.53377e+15
1.75005e+02,5.53371e+15
1.75206e+02,5.53366e+15
1.75407e+02,5.53361e+15
1.75607e+02,5.53355e+15
1.75808e+02,5.53350e+15
1.76009e+02,5.53344e+15
1.76209e+02,5.53339e+15
1.76410e+02,5.53334e+15
1.76610e+02,5.53328e+15
1.76811e+02,5.53323e+15
1.77012e+02,5.53318e+15
1.77212e+02,5.53313e+15
1.77413e+02,5.53307e+15
1.77613e+02,5.53302e+15
1.77814e+02,5.53297e+15
1.78015e+02,5.53292e+15
1.78215e+02,5.53286e+15
1.78416e+02,5.53281e+15
1.78617e+02,5.53276e+15
1.78817e+02,5.53271e+15
1.79018e+02,5.53266e+15
1.79218e+02,5.53260e+15
1.79419e+02,5.53255e+15
1.79620e+02,5.53250e+15
1.79820e+02,5.53245e+15
1.80021e+02,5.53240e+15
1.80221e+02,5.53235e+15
1.80422e+02,5.53230e+15
1.80623e+02,5.53225e+15
1.80823e+02,5.53220e+15
1.81024e+02,5.53215e+15
1.81225e+02,5.53209e+15
1.81425e+02,5.53204e+15
1.81626e+02,5.53199e+15
1.81826e+02,5.53194e+15
1.82027e+02,5.53189e+15
1.82228e+02,5.53184e+15
1.82428e+02,5.53179e+15
1.82629e+02,5.53174e+15
1.82829e+02,5.53170e+15
1.83030e+02,5.53165e+15
1.83231e+02,5.53160e+15
1.83431e+02,5.53155e+15
1.83632e+02,5.53150e+15
1.83832e+02,5.53145e+15
1.84033e+02,5.53140e+15
1.84234e+02,5.53135e+15
1.84434e+02,5.53130e+15
1.84635e+02,5.53125e+15
1.84836e+02,5.53121e+15
1.85036e+02,5.53116e+15
1.85237e+02,5.53111e+15
1.85437e+02,5.53106e+15
1.85638e+02,5.53101e+15
