P,Teff
5.9847630e+02,9.0930561e-03
6.1241660e+02,9.0884915e-03
6.2668170e+02,9.0839686e-03
6.4127900e+02,9.0794881e-03
6.5621630e+02,9.0750209e-03
6.7150150e+02,9.0705973e-03
6.8714280e+02,9.0662168e-03
7.0314840e+02,9.0618502e-03
7.1952680e+02,9.0575269e-03
7.3628680e+02,9.0532480e-03
7.5343710e+02,9.0489827e-03
7.7098690e+02,9.0447622e-03
7.8894550e+02,9.0405863e-03
8.0732240e+02,9.0364238e-03
8.2612730e+02,9.0323384e-03
8.4537030e+02,9.0282667e-03
8.6506150e+02,9.0242395e-03
8.8521140e+02,9.0202591e-03
9.0583060e+02,9.0162904e-03
9.2693010e+02,9.0124015e-03
9.4852110e+02,9.0085253e-03
